timestamp,ap_mac,rssi,people_count,has_los
2024-11-01 19:43:26.867115,AP:01:02:03:04,-42.29399986865432,5,True
2024-11-01 19:43:26.867115,AP:01:02:03:05,-70.29764313857065,5,False
2024-11-01 19:43:26.867115,AP:01:02:03:06,-74.51807632186065,5,False
2024-11-01 19:43:26.867115,AP:01:02:03:07,-75.59286402765537,5,True
2024-11-01 19:48:26.867115,AP:01:02:03:04,-42.76409751238168,3,True
2024-11-01 19:48:26.867115,AP:01:02:03:05,-70.56916737487063,3,False
2024-11-01 19:48:26.867115,AP:01:02:03:06,-75.07570301213359,3,True
2024-11-01 19:48:26.867115,AP:01:02:03:07,-74.6206942286758,3,True
2024-11-01 19:53:26.867115,AP:01:02:03:04,-44.006954810811116,7,True
2024-11-01 19:53:26.867115,AP:01:02:03:05,-68.5290197939828,7,False
2024-11-01 19:53:26.867115,AP:01:02:03:06,-76.68502359754852,7,True
2024-11-01 19:53:26.867115,AP:01:02:03:07,-75.98573222066169,7,False
2024-11-01 19:58:26.867115,AP:01:02:03:04,-47.49816139003355,4,True
2024-11-01 19:58:26.867115,AP:01:02:03:05,-68.63610172222424,4,False
2024-11-01 19:58:26.867115,AP:01:02:03:06,-75.21516353609886,4,True
2024-11-01 19:58:26.867115,AP:01:02:03:07,-72.64074936233892,4,False
2024-11-01 20:03:26.867115,AP:01:02:03:04,-44.53577742602209,8,True
2024-11-01 20:03:26.867115,AP:01:02:03:05,-73.91707655572817,8,True
2024-11-01 20:03:26.867115,AP:01:02:03:06,-70.9618434336603,8,True
2024-11-01 20:03:26.867115,AP:01:02:03:07,-79.53892264951546,8,False
2024-11-01 19:43:26.867115,AP:01:02:03:04,-53.98354237668561,5,True
2024-11-01 19:43:26.867115,AP:01:02:03:05,-69.64744903912552,5,True
2024-11-01 19:43:26.867115,AP:01:02:03:06,-74.83574295865941,5,False
2024-11-01 19:43:26.867115,AP:01:02:03:07,-74.60182855162428,5,True
2024-11-01 19:48:26.867115,AP:01:02:03:04,-49.63961744721874,2,True
2024-11-01 19:48:26.867115,AP:01:02:03:05,-70.6926182986794,2,True
2024-11-01 19:48:26.867115,AP:01:02:03:06,-71.98697345323154,2,False
2024-11-01 19:48:26.867115,AP:01:02:03:07,-69.23732521294818,2,True
2024-11-01 19:53:26.867115,AP:01:02:03:04,-51.663273000998174,9,True
2024-11-01 19:53:26.867115,AP:01:02:03:05,-72.75605396486372,9,False
2024-11-01 19:53:26.867115,AP:01:02:03:06,-74.90972232400547,9,False
2024-11-01 19:53:26.867115,AP:01:02:03:07,-80.26743449610397,9,False
2024-11-01 19:58:26.867115,AP:01:02:03:04,-44.08453492226579,1,True
2024-11-01 19:58:26.867115,AP:01:02:03:05,-68.64502876750537,1,True
2024-11-01 19:58:26.867115,AP:01:02:03:06,-69.83429575107361,1,False
2024-11-01 19:58:26.867115,AP:01:02:03:07,-76.78978629418252,1,False
2024-11-01 20:03:26.867115,AP:01:02:03:04,-47.4850717252662,0,True
2024-11-01 20:03:26.867115,AP:01:02:03:05,-68.94864815107293,0,True
